idCli,nombre,apellido,dire,tel,saldo,fechaIng,obs,activo,autoId
1,Kania,Osorio,0 Melrose Drive,(364) 4247275,0,2023-04-09 04:07:06,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,1
2,Jolie,Teas,496 Washington Street,(292) 7522448,0,2022-11-07 19:46:49,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0,2
3,Stacy,Casaro,85690 Melrose Road,(693) 1722524,0,2022-08-15 13:54:22,Integer non velit.,0,3
4,Lennard,Garton,0659 Northport Pass,(906) 6036283,0,2022-09-21 09:09:14,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1,4
5,Nedda,Parffrey,37279 Larry Circle,(542) 2934246,0,2023-05-23 04:53:14,In congue. Etiam justo.,1,5
6,Madalyn,Havard,7769 Talmadge Point,(712) 2748728,0,2023-03-23 18:25:01,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,1,6
7,Holly,Tavener,72 Scoville Court,(518) 7926888,0,2023-02-11 14:13:48,In blandit ultrices enim.,0,7
8,Sebastian,Cordon,8825 Bartillon Park,(147) 6395292,0,2022-09-22 06:11:44,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",0,8
9,Brooke,Balog,1584 Talisman Park,(303) 5058891,0,2022-08-10 07:46:21,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,0,9
10,Randene,Abdee,5428 Lotheville Way,(599) 8041271,0,2022-11-28 11:26:29,In hac habitasse platea dictumst.,0,10
11,Lamar,Mixon,00 Birchwood Parkway,(536) 7183688,0,2023-05-15 01:50:49,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0,11
12,Giovanna,Cardiff,6 Summer Ridge Alley,(470) 7893270,0,2023-01-20 00:20:29,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,0,12
13,Benedikta,Haddleton,802 Oakridge Crossing,(212) 7957051,0,2023-04-17 14:58:34,Integer tincidunt ante vel ipsum.,0,13
14,Janenna,Cyples,8195 Donald Road,(534) 6281392,0,2023-01-31 10:26:00,Vestibulum ac est lacinia nisi venenatis tristique.,1,14
15,Elysee,Ure,98837 Nancy Place,(454) 6937187,0,2023-06-04 07:16:50,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,15
16,Lu,Degli Abbati,332 Kedzie Hill,(515) 6774257,0,2022-09-20 21:16:12,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",1,16
17,Robenia,Skillings,1062 Scott Junction,(459) 7379367,0,2023-03-08 13:53:01,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,17
18,Emmet,Goshawke,7 Almo Junction,(500) 1931115,0,2023-05-10 19:24:26,Integer a nibh. In quis justo.,0,18
19,Mathe,Mc Carrick,50 Tennessee Alley,(194) 6597579,0,2022-07-24 03:23:30,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,0,19
20,Edie,Le Strange,40 Pine View Street,(754) 6910798,0,2023-03-20 02:42:56,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,20
21,Jasen,Jacson,1189 Washington Point,(551) 5649198,0,2023-05-15 18:02:09,Morbi non quam nec dui luctus rutrum. Nulla tellus.,1,21
22,Jarrett,Cansdall,28054 Shoshone Pass,(844) 5742278,0,2022-12-29 08:16:03,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,22
23,Bondy,Scudders,022 Crowley Street,(963) 6088549,0,2022-09-15 12:53:08,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,23
24,Kermit,Ferenczy,16748 Main Road,(828) 7863478,0,2023-01-01 14:52:18,Nullam porttitor lacus at turpis.,0,24
25,Cathie,Cleyburn,99 Namekagon Parkway,(982) 1730667,0,2023-01-15 13:55:50,Donec dapibus.,0,25
26,Tony,Fruchon,95 Old Shore Trail,(760) 6988666,0,2022-09-13 15:50:07,In hac habitasse platea dictumst.,1,26
27,Aguistin,Ballingal,125 Ryan Way,(569) 5595599,0,2023-02-10 18:30:59,Morbi a ipsum. Integer a nibh.,1,27
28,Bobby,Lydon,4 Kenwood Center,(544) 2857762,0,2022-09-13 18:37:59,Praesent blandit.,1,28
29,Sheree,Greenless,3947 Lillian Alley,(861) 3566199,0,2022-07-22 14:31:08,In quis justo. Maecenas rhoncus aliquam lacus.,0,29
30,Moshe,Gosswell,586 Stoughton Terrace,(204) 7856435,0,2023-02-07 09:33:19,Nam nulla.,0,30
31,Miguela,Metson,78039 Lakewood Gardens Park,(715) 8876493,0,2022-07-28 20:54:23,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,1,31
32,Hernando,Hayzer,41933 Merchant Street,(512) 8065296,0,2022-09-08 20:38:17,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1,32
33,Thoma,Dawber,21173 Blue Bill Park Hill,(894) 6975800,0,2023-05-17 03:30:46,Maecenas rhoncus aliquam lacus.,0,33
34,Linet,Bywaters,57973 Valley Edge Drive,(946) 7851217,0,2023-06-12 04:14:01,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,1,34
35,Erica,Dufaire,4 Lotheville Pass,(666) 8610660,0,2023-03-17 23:05:54,Nulla justo.,1,35
36,Perla,MacCarrick,47 Anhalt Pass,(324) 4481335,0,2022-08-17 23:33:13,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",1,36
37,Fanchette,Carp,74887 Independence Pass,(946) 6898049,0,2023-03-26 21:54:35,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,1,37
38,Koenraad,Sagg,88 Straubel Parkway,(295) 7087803,0,2022-11-23 00:14:10,Etiam justo.,1,38
